iter	RMSE
0	58.19598476
1	45.8920176
2	37.40177883
3	31.12369293
4	27.26549875
5	24.5877558
6	22.64062706
7	21.31696575
8	20.39383537
9	19.80924931
10	19.11407611
11	18.55589572
12	18.16613195
13	17.88206544
14	17.52758116
15	17.38145413
16	17.23912359
17	16.88167962
18	16.51023492
19	16.31523266
20	16.03138064
21	15.78093737
22	15.58676402
23	15.46973356
24	15.28462869
25	15.15012711
26	14.96112025
27	14.67985567
28	14.51970522
29	14.38232746
30	14.31019527
31	14.16650129
32	14.05134951
33	13.9620107
34	13.86864401
35	13.81671245
36	13.72216617
37	13.54365622
38	13.34374568
39	13.16505032
40	13.06449286
41	13.02007809
42	12.86300455
43	12.63635026
44	12.51464255
45	12.44945665
46	12.36007505
47	12.29384216
48	12.20896979
49	12.12226076
50	12.01899575
51	11.94242593
52	11.7766571
53	11.67091005
54	11.52613021
55	11.44269347
56	11.36926376
57	11.33663892
58	11.28066134
59	11.20777403
60	11.14203359
61	11.05119395
62	10.9384554
63	10.80907086
64	10.76341835
65	10.68239949
66	10.63076548
67	10.54879424
68	10.51351141
69	10.43334928
70	10.38458821
71	10.33696786
72	10.29097968
73	10.24805482
74	10.16776112
75	10.12204035
76	10.03208272
77	9.953831222
78	9.903697861
79	9.828389341
